Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
8/23/2017,LT,EQ,1117.7,1120,1128.85,1114.4,1125,1124.15,1121.01,1710949,1.91798E+14,68748,1091150,0.6377
8/24/2017,LT,EQ,1124.15,1130,1135.8,1126,1134.7,1131.7,1131.2,1316100,1.48877E+14,40707,841798,0.6396
8/28/2017,LT,EQ,1131.7,1134.7,1155,1128.8,1138,1138.9,1144.53,1884734,2.15713E+14,60539,963013,0.511
8/29/2017,LT,EQ,1138.9,1135.65,1138.75,1123.35,1129,1130.05,1129.94,1045267,1.18109E+14,29992,532652,0.5096
8/30/2017,LT,EQ,1130.05,1140,1145.9,1133,1139.35,1139.65,1141.5,895791,1.02254E+14,40533,447197,0.4992
8/31/2017,LT,EQ,1139.65,1144,1145,1130.5,1134.95,1136.3,1136.69,1926054,2.18933E+14,48715,1289992,0.6698
9/1/2017,LT,EQ,1136.3,1134.95,1144.4,1131.55,1140,1139.2,1138.54,976551,1.11185E+14,30915,530113,0.5428
9/4/2017,LT,EQ,1139.2,1127.95,1138.95,1122,1128,1130.65,1129.91,1006945,1.13776E+14,37490,487467,0.4841
9/5/2017,LT,EQ,1130.65,1131.15,1139,1122.3,1126.45,1126.65,1130.08,1110437,1.25488E+14,26477,559466,0.5038
9/6/2017,LT,EQ,1126.65,1122,1126.1,1115.9,1118.5,1117.6,1120.93,891224,9.98996E+13,31860,483650,0.5427
9/7/2017,LT,EQ,1117.6,1121.1,1130.95,1118.25,1129.7,1129.1,1125.48,1038623,1.16895E+14,41338,622494,0.5993
9/8/2017,LT,EQ,1129.1,1137.5,1182,1134.05,1171.7,1172.4,1168.32,4947759,5.78055E+14,149452,2531622,0.5117
9/11/2017,LT,EQ,1172.4,1180,1225,1152.55,1216,1217.85,1204.94,4364705,5.25919E+14,93241,2339089,0.5359
9/12/2017,LT,EQ,1217.85,1219.5,1234,1219.5,1227.2,1230.25,1226.79,2451814,3.00786E+14,64010,1392028,0.5678
9/13/2017,LT,EQ,1230.25,1222,1229,1207.5,1223.55,1223.35,1217.53,2233311,2.71911E+14,82397,1304027,0.5839
9/14/2017,LT,EQ,1223.35,1223.55,1234,1211.5,1214.1,1214.2,1221.07,1440488,1.75894E+14,40692,794504,0.5516
9/15/2017,LT,EQ,1214.2,1214,1221.65,1202.05,1208.35,1212.4,1210.98,1723247,2.08683E+14,43710,1011528,0.587
9/18/2017,LT,EQ,1212.4,1218.55,1246,1218.55,1237.5,1237.95,1240.03,3005809,3.7273E+14,80930,1556539,0.5178
9/19/2017,LT,EQ,1237.95,1235,1237.8,1220.5,1227.3,1225.9,1227.33,900287,1.10495E+14,27536,408228,0.4534
9/20/2017,LT,EQ,1225.9,1228.15,1250.5,1228.15,1236,1235.95,1241.42,2347635,2.9144E+14,67044,1249136,0.5321
9/21/2017,LT,EQ,1235.95,1236.9,1240,1208.75,1228.4,1228.05,1224.56,2216227,2.71391E+14,43561,1163294,0.5249
9/22/2017,LT,EQ,1228.05,1228.05,1229.15,1176.05,1187,1184.8,1199.07,2968531,3.55947E+14,80242,1668766,0.5622
9/25/2017,LT,EQ,1184.8,1187,1187,1145,1163.25,1165.2,1157.32,2720490,3.14848E+14,77241,1529003,0.562
9/26/2017,LT,EQ,1165.2,1151,1170,1151,1157,1162.9,1163.66,1809036,2.1051E+14,52907,1068948,0.5909
9/27/2017,LT,EQ,1162.9,1172.9,1172.9,1131.5,1137.05,1137.2,1146.42,2317721,2.65708E+14,76854,1274570,0.5499
9/28/2017,LT,EQ,1137.2,1140.35,1143.7,1128,1133,1133.35,1134.87,3474398,3.943E+14,93685,2319333,0.6675
9/29/2017,LT,EQ,1133.35,1139.95,1154.05,1131.05,1145,1142.05,1143.23,3193745,3.65118E+14,92597,2053212,0.6429
10/3/2017,LT,EQ,1142.05,1155.55,1157.75,1128.05,1133,1134.9,1137.77,1413186,1.60788E+14,61722,724913,0.513
10/4/2017,LT,EQ,1134.9,1135,1143.85,1133.35,1139.2,1138.3,1139.44,1155472,1.31659E+14,33124,697976,0.6041
10/5/2017,LT,EQ,1138.3,1142,1145.8,1128.5,1131.15,1132.05,1134.28,1303081,1.47806E+14,30651,773545,0.5936
10/6/2017,LT,EQ,1132.05,1135,1144.95,1135,1143,1141.8,1140.71,1814990,2.07037E+14,37307,1215169,0.6695
10/9/2017,LT,EQ,1141.8,1142,1158.25,1138.85,1143,1140.95,1145.79,1737288,1.99056E+14,55326,1092457,0.6288
10/10/2017,LT,EQ,1140.95,1154,1155.25,1138.25,1142.05,1142.7,1143.92,2347406,2.68524E+14,64620,1314777,0.5601
10/11/2017,LT,EQ,1142.7,1147.4,1151.5,1127.35,1132,1133.85,1141.05,1638071,1.86912E+14,48495,816744,0.4986
10/12/2017,LT,EQ,1133.85,1142,1146.1,1134.25,1143,1143.65,1140.11,1151274,1.31258E+14,53598,474225,0.4119
10/13/2017,LT,EQ,1143.65,1143.65,1150,1136.15,1138,1138.65,1141.79,1762307,2.01219E+14,57023,1122335,0.6369
10/16/2017,LT,EQ,1138.65,1143,1150.95,1140.65,1145.5,1144.7,1146,1189499,1.36316E+14,43279,738954,0.6212
10/17/2017,LT,EQ,1144.7,1142,1155,1140,1150.1,1148.75,1150.28,1123634,1.29249E+14,36237,570874,0.5081
10/18/2017,LT,EQ,1148.75,1150,1156.9,1138.1,1143.5,1141.4,1148.4,1263098,1.45054E+14,32096,723094,0.5725
10/19/2017,LT,EQ,1141.4,1143,1147.05,1137,1138.2,1139.75,1141.41,264888,3.02346E+13,9623,151584,0.5723
10/23/2017,LT,EQ,1139.75,1143,1152,1123.2,1135.75,1135.75,1136.62,1077546,1.22476E+14,36789,467216,0.4336
10/24/2017,LT,EQ,1135.75,1139,1145.4,1126.1,1141.85,1142.55,1134.1,1281327,1.45315E+14,62580,685108,0.5347
10/25/2017,LT,EQ,1142.55,1150.1,1215,1150.1,1203.5,1204.2,1195.67,6377478,7.62537E+14,165967,3560853,0.5583
10/26/2017,LT,EQ,1204.2,1209.95,1243.5,1209.15,1221.95,1223.5,1227.73,5486055,6.73539E+14,136597,3108418,0.5666
10/27/2017,LT,EQ,1223.5,1232.95,1242,1220.4,1223,1224.65,1231.7,2036609,2.5085E+14,53489,1242884,0.6103
10/30/2017,LT,EQ,1224.65,1228,1239.9,1224.15,1234.95,1236.95,1235.37,1808153,2.23374E+14,68634,1259061,0.6963
10/31/2017,LT,EQ,1236.95,1237,1238.2,1210.8,1223.4,1222.3,1224.01,1815888,2.22267E+14,71693,1145046,0.6306
11/1/2017,LT,EQ,1222.3,1226.1,1236.65,1213.3,1215.1,1215.3,1224.35,1929731,2.36267E+14,66555,1386847,0.7187
11/2/2017,LT,EQ,1215.3,1215.5,1216,1203.75,1210.45,1210.95,1209.64,1183382,1.43146E+14,41755,839998,0.7098
11/3/2017,LT,EQ,1210.95,1211,1247.15,1211,1246,1235,1227.1,1797145,2.20528E+14,48233,1131449,0.6296
11/6/2017,LT,EQ,1235,1225,1241.5,1218.5,1220.75,1224.7,1230.44,1691967,2.08186E+14,56866,1064356,0.6291
11/7/2017,LT,EQ,1224.7,1225.55,1233.6,1203.1,1212,1211.05,1215.66,1658527,2.01621E+14,56681,1101620,0.6642
11/8/2017,LT,EQ,1211.05,1212,1225,1208.2,1218.2,1218.2,1218.41,1905789,2.32203E+14,42414,1450131,0.7609
11/9/2017,LT,EQ,1218.2,1220.15,1231.1,1205.9,1218.5,1215.9,1217.16,1733475,2.10991E+14,36346,1111006,0.6409
11/10/2017,LT,EQ,1215.9,1217.65,1274.95,1217,1272.1,1264.95,1258.25,5671395,7.13602E+14,144694,2772553,0.4889
11/13/2017,LT,EQ,1264.95,1229.8,1259.95,1208.2,1240.6,1240.55,1236.9,5216845,6.45273E+14,116585,2089733,0.4006
11/14/2017,LT,EQ,1240.55,1235,1238,1207.05,1211,1210.2,1216.65,2519826,3.06575E+14,97412,1330325,0.5279
